Judul,Tanggal,Penulis,Isi,Link Lengkap
"Layanan SIM Keliling di Jakpus-Jaktim Hari Ini, Simak di Sini",2022-01-15 09:32:37,"['Farih Maulana Sidik', 'Https', 'Www.Facebook.Com Detikcom', 'Farih Maulana Sidik - Detiknews']","Direktorat Lalu Lintas (Ditlantas) Polda Metro Jaya tetap menghadirkan pelayanan mobil SIM keliling di Jakarta pada akhir pekan ini. Lokasi pelayanan SIM keliling tersebar di lima titik wilayah Jakarta. Dimana saja?

Dikutip dari akun resmi Twitter TMC Polda Metro Jaya @TMCPoldaMetro, Ditlantas Polda Metro Jaya menyediakan pelayanan SIM keliling di Jakarta Pusat, Jakarta Selatan, Jakarta Barat, dan Jakarta Timur. Berikut lima lokasi SIM keliling pada Sabtu (15/1/2022) yang tersebar di wilayah Jakarta:

Jaktim : Mall Grand Cakung

Jaksel : Kampus Trilogi Kalibata

Jakbar : LTC Glodok & Mall Citraland

Jakpus : Kantor Pos Lapangan Banteng

Sebagai catatan, pelayanan SIM keliling dibuka dari pukul 08.00 WIB sampai 12.00 WIB. Pelayanan SIM keliling tetap menerapkan protokol kesehatan yang diperketat.

Perpanjangan SIM yang dilayani di SIM keliling adalah perpanjangan SIM A dan SIM C. Perpanjangan SIM A dan SIM C dilakukan sebelum masa berlakunya habis. Apabila SIM sudah habis masa berlakunya, pemohon SIM harus mengikuti prosedur penerbitan SIM baru, lalu prosedur itu antara lain harus mengikuti ujian tertulis maupun praktik.

Adapun biaya perpanjangan SIM sesuai Peraturan Pemerintah Nomor 60 Tahun 2016 tentang Penerimaan Negara Bukan Pajak. Untuk perpanjang SIM A biayanya adalah Rp 80.000 dan perpanjang SIM C sebesar Rp 75.000.

Syarat perpanjangan SIM di SIM keliling antara lain:

Foto Kopi KTP yang masih berlaku

Foto Kopi SIM lama dan SIM asli

Bukti Cek Kesehatan

Berikut ini daftar lengkap biaya perpanjangan SIM A, SIM B, dan SIM C:

SIM A dan A Umum: Rp 80.000

SIM B dan B1 umum: Rp 80.000

SIM B2 dan B2 Umum: Rp 80.000

SIM C: Rp 75.000

SIM C1: Rp 75.000

SIM C2: Rp 75.000

SIM D: Rp 30.000

SIM D Khusus D1: Rp 30.000

SIM Internasional: Rp 225.000

Biaya perpanjangan SIM tersebut di atas belum mencakup biaya tes kesehatan dan tes psikologi.",https://news.detik.com/berita/d-5899087/layanan-sim-keliling-di-jakpus-jaktim-hari-ini-simak-di-sini
Galeri Detail,,[],,https://event.detik.com/galeri/90-nostalgia-bareng-39-akademia-39-lewat-konser-reuni-tanpa-eliminasi
Galeri Detail,,[],,https://event.detik.com/galeri/70-buka-puasa-gratis-sesuai-keinginan
Galeri Detail,,[],,https://event.detik.com/galeri/17-mengembangkan-kopi-indonesia-dalam-ranah-global
"Mulai Sering Kelihatan di Jalan, Hyundai Staria Laris Manis?",2022-01-15 10:55:46,"['Luthfi Anshori', 'Https', 'Www.Facebook.Com Detikoto', 'Luthfi Anshori - Detikoto']","Hyundai Staria menjadi salah satu andalan Hyundai Indonesia di segmen premium. Berada di kelas yang sama seperti Toyota Alphard, seberapa laris angka penjualan Hyundai Staria?

Hyundai Motors Indonesia melakukan gebrakan dengan meluncurkan MPV mewah, Staria, pada Agustus 2021 lalu. Kehadiran mobil ini menjadi opsi yang menarik bagi konsumen, sebab Staria memiliki desain futuristis yang berbeda dengan MPV-MPV mewah buatan pabrikan Jepang yang cenderung elegan.

Mobil ini tampaknya sudah bisa diterima masyarakat Indonesia. detikOto beberapa kali menemukan penampakan Hyundai Staria di jalanan Jakarta. Lalu, seberapa banyak kah penjualan mobil MPV bongsor ini?

Erwin Djajadiputra, selaku Sales Director PT Hyundai Motors Indonesia (HMID), mengklaim Hyundai Staria mendapat respons positif dari konsumen Tanah Air. Untuk sebuah MPV premium dengan harga mulai Rp 888 juta hingga Rp 1,020 miliar, mobil mampu terjual ratusan unit.

""Tahun (2021) lalu kira-kira (wholesales-nya) kurang lebih 300 unit. Kita kan launching baru Agustus (2021) dan sempat mengalami kendala suplai juga,"" kata Erwin kepada wartawan di area PT Hyundai Motor Manufacturing Indonesia (HMMI) Cikarang, Bekasi, Jawa Barat, Kamis (13/1/2022).

Selain angka wholesales-nya yang diklaim tinggi, bukti lain jika Staria diminati adalah soal masa tunggunya yang cukup lama. Menurut Erwin, saat ini tipe Staria masih inden antara 1-2 bulan. Jadi konsumen harus bersabar.

""Staria cukup bagus. Artinya gini, memang itu kan premium MPV, secara market tidak seperti Creta. Tapi penerimaan masyarakat cukup bagus dan buktinya hari ini masih inden, sekitar 1-2 bulan, terutama di awal tahun (2022) ini,"" sambung Erwin.

Sebagai informasi, Hyundai Staria dipasarkan dalam dua trim dan harga. Model Signature 9, harganya Rp 888 juta, sementara Signature 7 harganya Rp 1,020 miliar.",https://oto.detik.com/mobil/d-5899145/mulai-sering-kelihatan-di-jalan-hyundai-staria-laris-manis
Kata Hyundai Soal Mobil Rakyat di Bawah Rp 250 Juta Usulan Kemenperin,2022-01-14 18:16:31,"['Luthfi Anshori', 'Https', 'Www.Facebook.Com Detikoto', 'Luthfi Anshori - Detikoto']","Menteri Perindustrian Agus Gumiwang Kartasasmita mengusulkan 'mobil rakyat' dengan harga di bawah Rp 250 juta tidak terkena PPnBM (Pajak Penjualan atas Barang Mewah). Begini tanggapan Hyundai.

Kementerian Perindustrian mengusulkan agar mobil dengan harga di bawah Rp 250 juta dan local purchase (kandungan lokal) minimal sebesar 80% tidak dikenai PPnBM mulai tahun 2022.

Kemenperin menyebut pada Maret-November 2021, penjualan mobil peserta program stimulus PPnBM 0% mencapai 428.947 unit, atau meningkat 126,6% dari periode yang sama di tahun sebelumnya (189.364 unit). Sebanyak 60% merupakan mobil di bawah 1.500 cc dengan kisaran harga Rp 250 juta.

Menanggapi usulan tersebut, Hyundai Indonesia mengatakan ingin mengetahui lebih pasti soal wacana mobil rakyat dengan banderol di bawah Rp 250 juta, khususnya segmen yang ingin dijangkau pemerintah.

""Kalau misal dikatakan mobil murah atau tidak, menurut saya tergantung segmen yang mau dijangkau, yang mau dituju seperti apa. Karena kebetulan kan sekarang segmen yang paling gemuk, yang di bawah 300 (juta). Kalau di bawah 300 juta, Creta pun kan ada yang di bawah 300 juta,"" kata Chief Operating Officer PT Hyundai Motors Indonesia (HMID), Makmur, kepada wartawan di PT Hyundai Motor Manufacturing Indonesia (HMMI) Cikarang, Jawa Barat, Kamis (13/1/2022).

Hyundai sendiri saat ini sudah memiliki fasilitas perakitan mobil di Cikarang dengan kapasitas 150 ribu unit per tahun yang bisa ditingkatkan menjadi 250 ribu unit per tahun. Tentunya hal yang mudah bagi Hyundai jika ingin meningkatkan local purchase 80% supaya sesuai kriteria mobil rakyat yang bebas PPnBM. Apakah Hyundai menyanggupi hal itu?

""Nanti kita lihat saja. Saya belum bisa buka di sini karena peraturan pemerintah kan juga belum clear,"" sambung Makmur.

Sebelumnya Menteri Keuangan Sri Mulyani juga sudah buka suara soal usulan penghapusan PPnBM untuk mobil rakyat yang diajukan Kemenperin. Tapi Sri Mulyani menegaskan sampai saat ini pemerintah belum memutuskan apapun soal wacana tersebut. Bahkan, Presiden Joko Widodo meminta agar wacana itu dikaji lagi.

""Untuk PPnBM mobil kita belum putuskan. Sama Presiden minta dikaji lagi, terutama tentu dikaitkan apakah demand-nya sudah meningkat cukup bagus? Kalau manufaktur dan perdagangan sih kita lihat mulai bergerak kuat,"" ungkap Sri Mulyani kepada wartawan di Jakarta (31/12/2021).

Yang jelas, Sri Mulyani menyatakan pemerintah akan makin selektif memberikan insentif pajak. Bisa jadi insentif PPnBM untuk mobil tidak diberikan bila permintaan masyarakat sudah pulih. Dia menegaskan sejauh ini insentif pajak untuk sektor otomotif belum bisa diputuskan.

""Kita akan selektif gunakan instrumen itu. Untuk yang otomotif belum bisa diputuskan,"" ujar Sri Mulyani.",https://oto.detik.com/mobil/d-5898546/kata-hyundai-soal-mobil-rakyat-di-bawah-rp-250-juta-usulan-kemenperin
"Canggihnya Pabrik Hyundai di Cikarang: Full AC, Pakai 409 Robot Perakit Mobil",2022-01-14 15:12:58,"['Luthfi Anshori', 'Https', 'Www.Facebook.Com Detikoto', 'Luthfi Anshori - Detikoto']","Pabrik Hyundai di Cikarang, Bekasi, Jawa Barat, akan memulai produksi perdananya pada Senin 17 Januari 2022. Pabrik ini memiliki sejumlah kecanggihan, antara lain sudah full AC dan sudah memakai sekitar 409 tenaga robot untuk proses perakitan mobil.

PT Hyundai Motors Indonesia (HMDI) mengajak sejumlah wartawan untuk melihat pabrik baru PT Hyundai Motor Manufacturing Indonesia (HMMI) di Bekasi, Jawa Barat. Dalam acara yang berlangsung pada Kamis (13/1) itu, awak media juga mendapat kesempatan melakukan first drive Hyundai Creta.

Sebagai informasi, pada tanggal 26 November 2019, Hyundai Motor Company dan pemerintah Indonesia menandatangani nota kesepahaman (MoU) untuk membangun pabrik manufaktur di Tanah Air yang sekaligus menjadi pusat manufaktur pertamanya di Asia Tenggara. Pabrik tersebut memiliki nilai investasi sekitar USD 1,55 miliar hingga 2030.

Pembangunan pabrik yang berlokasi di Deltamas, Cikarang Pusat, Bekasi, Jawa Barat, Indonesia ini rampung pada Desember 2021 lalu. Pabrik manufaktur tersebut dibangun di atas lahan seluas 77,7 hektar dengan luas bangunan 18,8 hektar. Pabrik ini bisa memproduksi 150 ribu mobil per tahun.

Hyundai Creta yang akan diproduksi di pabrik Cikarang Foto: Luthfi Anshori/detikOto Hyundai Creta yang akan diproduksi di pabrik Cikarang Foto: Luthfi Anshori/detikOto

Dengan selesainya pembangunan pabrik di Indonesia, Hyundai langsung memulai proses produksi model Hyundai pertama yang dibuat di Indonesia, untuk masyarakat Indonesia, yaitu Hyundai Creta. Selain Creta, Hyundai juga bakal memproduksi mobil listrik, Ioniq 5, tahun 2022 ini.

Pada Kamis, 13/1/2022, HMMI mengajak wartawan, termasuk detikOto, untuk mengintip proses produksi kendaraan yang ada di fasilitas HMMI, antara lain fasilitas pembuat oksigen medis, safety training center, press shop, body shop, dan terakhir assembly shop.

Oh iya, selama awak media berkeliling di fasilitas pabrik HMMI, pihak Hyundai melarang kami untuk mengambil gambar, baik dalam bentuk foto atau video, sehingga kami tidak bisa menyajikan dalam bentuk visualnya kepada para pembaca.

Hyundai Creta yang baru saja selesai diproduksi Foto: Luthfi Anshori/detikOto Hyundai Creta yang baru saja selesai diproduksi Foto: Luthfi Anshori/detikOto

[Lanjut Halaman Berikutnya: pengalaman kami berkunjung ke pabrik Hyundai Indonesia:]",https://oto.detik.com/mobil/d-5898100/canggihnya-pabrik-hyundai-di-cikarang-full-ac-pakai-409-robot-perakit-mobil
Gaya Puan Maharani Hadiri Pernikahan Vidi Aldiano-Sheila Dara,2022-01-15 10:40:56,[],"Vidi Aldiano dan Sheila Dara Aisha resmi menikah hari ini, Sabtu (15/1). Prosesi akad nikah dihadiri sejumlah tamu pejabat, salah satunya ada Ketua DPR RI Puan Maharani. Ia mengenakan busana kebaya putih dipadukan dengan kain batik. Hadir pula Kepala Bakamla Laksdya TNI Aan Kurnia sebagai saksi akad nikah.",https://wolipop.detik.com/detiktv/d-5899141/gaya-puan-maharani-hadiri-pernikahan-vidi-aldiano-sheila-dara
"Kunjungi Sentra Jamu Gendong di Sleman, Sandiaga: Rasanya Wuenak!",2022-01-15 10:10:29,"['Jauh Hari Wawan S', 'Https', 'Www.Facebook.Com Detiktravel']","Menteri Pariwisata dan Ekonomi Kreatif (Menparekraf) Sandiaga Uno mengunjungi sentra jamu di Padukuhan Gesikan, Merdikorejo, Tempel, Sleman. Sandiaga ingin membangkitkan kembali ekonomi kerakyatan lewat wisata kesehatan sekaligus membuat paket wisata jamu gendong.

Dalam kesempatan itu, Sandiaga juga sempat mencicipi jamu beras kencur yang diolah oleh perajin jamu setempat. Mantan Wagub DKI Jakarta itu pun memuji rasa jamu yang ia minum.

""Rasanya wuenak, ada efek sampingnya?,"" ujar Sandi yang kemudian ditanggapi Bupati Sleman Kustini Sri Purnomo ""Badan jadi hangat,"".

Soal sentra jamu gendong ini, sebelumnya telah ditetapkan oleh Kabupaten Sleman pada 2018. Sandi pun akan membuat paket wisata sentra jamu gendong.

""(Saya dengar) saat ini akan dibuatkan sebagai salah satu destinasi untuk travel pattern atau pola perjalanan dalam pengembangan destinasi super prioritas Borobudur,"" ujar Sandiaga.

Sandiaga Uno minum jamu. Foto: Jauh Hari Wawan S/detikcom Sandiaga Uno minum jamu. Foto: Jauh Hari Wawan S/detikcom

Oleh karena itu, ia dan Kemenparekraf akan mendukung penuh pengembangan sentra jamu ini. Mulai dari digitalisasi, pemasaran dan lain sebagainya.

""Saya diberitahu ada 30 perajin jamu gendong mungkin bisa disampaikan (kendala-kendalanya), sehingga kami bisa mulai bekerja melakukan pematangan di destinasi ini,""

""Misalnya digitalisasi, pelatihan, paket promosi, termasuk voucher, karena tahun lalu kita punya program diskon. Ini yang disinergikan dengan Kementerian,"" imbuhnya.

Jamu, kata Sandiaga, merupakan bagian dari wellness dan herbal tourism Indonesia, bagian wisata kesehatan yang dikembangkan Kemenparekraf.

""Intinya kita ingin sentra jamu gendong ini menjadi simbol kebangkitan. Karena tadi minum beras kencur kita langsung merasa ingin bangkit. Badan mulai terasa hangat, terasa enak,"" sebutnya.

Sementara itu, Sarjono dari sentra jamu gendong mengatakan selama ini pihaknya mengalami kesulitan dalam pemasaran. Oleh karena itu, ia meminta agar ada dukungan dari Kemenparekraf untuk keberlangsungan usaha jamu ini.

""Kami kesulitan dari segi pemasaran. Kalau sudah jadi destinasi mudah-mudahan bisa menjadi peningkatan ekonomi yang signifikan,"" ucap Sarjono.

Konten Kreatif Bantu Promosi Desa Wisata, Sandiaga Benahi Jaringan Internet",https://travel.detik.com/travel-news/d-5899057/kunjungi-sentra-jamu-gendong-di-sleman-sandiaga-rasanya-wuenak
Manchester City Diprediksi Menang Tipis dari Chelsea,2022-01-15 22:00:00,['Fandi Akbar Saputra'],"Laga big match akan mempertemukan Manchester City vs Chelsea Sabtu (15/1) malam. Pengamat Sepakbola, Kesit Budi Handoyo memprediksi klub asuhan Pep Guardiola akan memenangkan pertandingan dengan skor tipis.",https://20.detik.com/sport-buzz/20220115-220115051/manchester-city-diprediksi-menang-tipis-dari-chelsea
