Judul,Tanggal,Penulis,Isi,Link Lengkap
Kota Bogor Kembali Terapkan Ganjil Genap,2022-01-15,[],"Kota Bogor semaksimal mungkin untuk menahan laju penambahan kasus positif Covid-19 terutama dari varian Omicron. Salah satu upaya yang dilakukan, yaitu menerapkan pembatasan mobilitas warga dengan ganjil genap kendaraan.

Memuat data...

BOGOR, KOMPAS – Satuan tugas Covid-19 Kota Bogor kembali memberlakukan kebijakan ganjil-genap mulai Sabtu-Minggu, akhir pekan ini. Kebijakan ini diambil untuk menekan mobilitas di Kota Bogor yang tinggi di tengah ancaman virus varian Omicron.

Wali ketua Satgas Covid-19 sekaligus Kepala Kepolisian Resor Kota Bogor Komisaris Besar Susatyo mengatakan, pihaknya akan mengkombinasikan kebijakan ganjil genap dan bebas kerumunan pada Sabtu dan Minggu ini.",http://kompas.id/baca/metro/2022/01/15/kota-bogor-kembali-terapkan-ganjil-genap
Women in NU Management,2022-01-14,[],"Harian Kompas adalah surat kabar Indonesia yang berkantor pusat di Jakarta. Kompas diterbitkan oleh PT Kompas Media Nusantara yang merupakan bagian dari kelompok usaha Kompas Gramedia (KG), yang didirikan oleh P.K. Ojong (almarhum) dan Jakob Oetama sejak 28 Juni 1965.



Mengusung semboyan ""Amanat Hati Nurani Rakyat"", Kompas dikenal sebagai sumber informasi tepercaya, akurat, dan mendalam.",http://kompas.id/baca/english/2022/01/14/women-in-nu-management
"Manawari Sago Forest, Last Bastion of Hope for Yerisiam People",2022-01-14,[],"Sagu Manawari hamlet is not only a place where people make their livelihood, but also a cultural identity for the Yerisiam tribe, with sago extraction having been done by their ancestors for hundreds of years.

Memuat data...

After their customary forest was turned into oil palm plantations, the people of Kampung Sima in Nabire regency, Papua, have staunchly defended the remaining forest area. The forest contains a stretch of sago palms they live on.

Monday (26/4/2021) at around 1 p.m. Eastern Indonesia Time, the atmosphere in an enclave of the sago palm forest in Sima village, Yaur district, Nabire regency, was very quet. Only the sound of chirping birds, buzzing insects and cracking sago trunks being pounded by local people could be heard.",http://kompas.id/baca/english/2022/01/14/manawari-sago-forest-last-bastion-of-hope-for-yerisiam-people
Jakarta Pertamina Fastron Mengalahkan Jakarta Mandiri Popsivo Polwan,2022-01-14,[],"Harian Kompas adalah surat kabar Indonesia yang berkantor pusat di Jakarta. Kompas diterbitkan oleh PT Kompas Media Nusantara yang merupakan bagian dari kelompok usaha Kompas Gramedia (KG), yang didirikan oleh P.K. Ojong (almarhum) dan Jakob Oetama sejak 28 Juni 1965.



Mengusung semboyan ""Amanat Hati Nurani Rakyat"", Kompas dikenal sebagai sumber informasi tepercaya, akurat, dan mendalam.",http://kompas.id/baca/olahraga/2022/01/14/jakarta-pertamina-fastron-mengalahkan-jakarta-mandiri-popsivo-polwan
"Fakta Gempa Banten M 6,6: Pasien Omicron Berhamburan, KRL Berhenti, hingga Sidang Diskors",2022-01-15,"['Kompas Cyber Media', 'Annisa Ramadani Siregar', 'Kompas.Com Akbar Bhayu Tamtomo']",,https://megapolitan.kompas.com/read/2022/01/15/10532351/fakta-gempa-banten-m-66-pasien-omicron-berhamburan-krl-berhenti-hingga
"Bupatinya Kena OTT, Dimana Sebenarnya Kabupaten Penajam Paser Utara?",,['Kompas Cyber Media'],,https://video.kompas.com/96545/bupatinya-kena-ott-dimana-sebenarnya-kabupaten-penajam-paser-utara
"Sah! Vidi Aldiano dan Sheila Dara Menikah, Mahar Dolar dan Poundsterling",,['Fiqih Rahmawati'],,https://www.kompas.tv/article/251742/sah-vidi-aldiano-dan-sheila-dara-menikah-mahar-dolar-dan-poundsterling
"Para Pegawai Perkantoran di Jakarta Berhamburan Keluar Gedung Saat Gempa M 6,6 Mengguncang Jakarta",,['Shinta Milenia'],,https://www.kompas.tv/article/251744/para-pegawai-perkantoran-di-jakarta-berhamburan-keluar-gedung-saat-gempa-m-6-6-mengguncang-jakarta
"Kesal Warung Ibunya Sering Kehilangan, Kakak Beradik di Palembang Aniaya Pencuri hingga Tewas",2022-01-15,"['Kompas Cyber Media', 'Kontributor Palembang', 'Aji Yk Putra', 'Kompas.Com Aji Yk Putra']",,https://regional.kompas.com/read/2022/01/15/105328078/kesal-warung-ibunya-sering-kehilangan-kakak-beradik-di-palembang-aniaya
"Jadi Tersangka Kasus Narkoba, Fico Fachriza Menangis di Pelukan Ananta Rispo",2022-01-15,"['Kompas Cyber Media', 'Vincentius Mario', 'Kompas.Com Baharudin Al Farisi']",,https://www.kompas.com/hype/read/2022/01/15/104924666/jadi-tersangka-kasus-narkoba-fico-fachriza-menangis-di-pelukan-ananta-rispo
